id,title,Actor
459488,"To Be Frank, Sinatra at 100",
447027,Running Forever,
433715,8 Days," ""Kim Baldwin"""
426469,Growing Up Smith," ""Brighton Sharbino"""
426067,Midnight Cabaret," ""Michael Des Barres"""
417859,Puss in Boots," ""Salma Hayek"""
408429,Perfect Cowboy," ""Jeffrey Watkins"""
407887,Operation Chromite,3896
402515,American Beast," ""Victoria Lachelle"""
396152,Restoration," ""Adrian Gaeta"""
395766,The Secret," ""Genevieve O'Reilly"""
394047,The Dog Lover," ""James Remar"""
389425,Code of Honor," ""Craig Sheffer"""
386826,A Beginner's Guide to Snuff," ""Luke Edwards"""
385736,Kicks," ""Kofi Siriboe"""
385636,Juliet and Alfa Romeo," ""Jan Gerl Korenc"""
385383,Fight Valley," ""Miesha Tate"""
381902,The Monkey King 2," ""Gong Li"""
380733,Fight to the Finish," ""Evan Hannemann"""
380097,America Is Still the Place,
379532,Rodeo Girl," ""Sophie Bolen"""
378237,Amidst the Devil's Wings,
378200,The Perfect Match," ""Paula Patton"""
376659,Bad Moms," ""Kristen Bell"""
376010,Western Religion," ""Merik Tadros"""
376004,Adulterers," ""Danielle Savre"""
375950,The Country Doctor," ""Marianne Denicourt"""
375290,Airlift," ""Nimrat Kaur"""
374461,Mr. Church," ""Britt Robertson"""
373314,Misconduct," ""Alice Eve"""
371690,Rotor DR1," ""Natalie Welch"""
371085,Sharkskin,
370980,Chiamatemi Francesco - Il Papa della gente," ""Sergio Hern\u00e1ndez"""
370662,Time to Choose," ""Jane Goodall"""
370464,The Masked Saint," ""Lara Jean Chorostecki"""
367961,Savva. Heart of the Warrior," ""Konstantin Khabenskiy"""
367551,American Hero," ""Eddie Griffin"""
366967,Dutch Kills," ""Tama Filianga"""
365222,Ip Man 3," ""Lynn Hung"""
365052,The Looking Glass," ""Jace Casey"""
364083,Mi America," ""Michael Brainard"""
362765,The Sound and the Shadow," ""Alex Anfanger"""
362105,R.L. Stine's Monsterville: The Cabinet of Souls," ""Katherine McNamara"""
361505,Me You and Five Bucks,
361475,Departure," ""Alex Lawther"""
361398,Theresa Is a Mother," ""C. Fraser Press"""
361159,Navy Seals vs. Zombies," ""Michael Dudikoff"""
360339,Eden," ""Ethan Peck"""
360188,Queen Crab," ""Kathryn Metz"""
358451,A Tale of Three Cities," ""Tang Wei"""
357837,Dancin' It's On," ""Chehon Wespi-Tschopp"""
357834,The Algerian," ""Candice Coke"""
357441,Karachi se Lahore," ""Ayesha Omar"""
356987,Abandoned," ""Peter Feeney"""
356841,Checkmate," ""Sean Astin"""
356483,Unnatural," ""Sherilyn Fenn"""
356216,The Rise of the Krays," ""Simon Cotton"""
355629,The Blade of Don Juan," ""Rodrigo Viaggio"""
354624,Heroes of Dirt," ""William Martinez"""
354110,Forsaken," ""Kiefer Sutherland"""
352978,Chain of Command," ""Steve Austin"""
351819,Fifty Shades of Black," ""Kali Hawk"""
351043,Amnesiac," ""Wes Bentley"""
347969,The Ridiculous 6," ""Taylor Lautner"""
347764,Goddess of Love," ""Elizabeth Sandy"""
347755,Wind Walkers," ""Glen Powell"""
347548,Containment," ""Lee Ross"""
347126,God's Not Dead 2," ""Melissa Joan Hart"""
346081,Sardaarji,
345911,Lights Out," ""Maria Bello"""
345003,10 Days in a Madhouse," ""Christopher Lambert"""
344466,The World Is Mine," ""Iulia Ciochina"""
343795,90 Minutes in Heaven," ""Hayden Christensen"""
343409,Windsor Drive," ""Anna Gurji"""
342521,Keanu," ""Keegan-Michael Key"""
342502,AWOL-72," ""RZA"""
340816,Christmas Eve," ""Cheryl Hines"""
340611,Indignation," ""Sarah Gadon"""
339984,Miracles from Heaven," ""Kylie Rogers"""
339408,The Birth of a Nation," ""Armie Hammer"""
336004,Heist," ""Robert De Niro"""
335874,Childless," ""Joe Mantegna"""
335866,Circle," ""Carter Jenkins"""
335778,Risen," ""Cliff Curtis"""
335244,Antarctic Edge: 70° South,
334531,My All American," ""Finn Wittrock"""
334527,Criminal Activities," ""John Travolta"""
334074,Survivor," ""Milla Jovovich"""
333371,10 Cloverfield Lane," ""John Goodman"""
333355,Star Wars: Clone Wars: Volume 1," ""Corey Burton"""
333348,Love the Coopers," ""Diane Keaton"""
332567,The Shallows," ""\u00d3scar Jaenada"""
332411,I Am Wrath," ""Christopher Meloni"""
332285,Antibirth," ""Chlo\u00eb Sevigny"""
331745,Top Spin,
331592,Listening," ""Artie Ahr"""
331493,Light from the Darkroom,
331190,Captive," ""David Oyelowo"""
330770,Evolution," ""Roxane Duran"""
329833,Zoolander 2," ""Owen Wilson"""
329540,The Marine 4: Moving Target," ""Melissa Roxburgh"""
329440,The Forest," ""Taylor Kinney"""
328425,The Gift," ""Rebecca Hall"""
328387,Nerve," ""Dave Franco"""
328307,Rise of the Entrepreneur: The Search for a Better Way,
328111,The Secret Life of Pets," ""Eric Stonestreet"""
327833,Skin Trade," ""Tony Jaa"""
326576,Dawn of the Crescent Moon," ""Brooke Coleman"""
326284,Pound of Flesh," ""John Ralston"""
325789,The Infiltrator," ""Diane Kruger"""
325579,Diamond Ruff,
325373,Two Lovers and a Bear," ""Tatiana Maslany"""
325173,Close Range," ""Nick Chinlund"""
325140,Hum To Mohabbat Karega,
325133,Neighbors 2: Sorority Rising," ""Rose Byrne"""
325123,Teeth and Blood," ""Michelle Van Der Water"""
324668,Jason Bourne," ""Alicia Vikander"""
,,
324352,Anderson's Cross," ""Joyce Guy"""
324322,They Will Have to Kill Us First," ""57b3c415c3a368184a0003ac"""
323967,Walter," ""Justin Kirk"""
323677,Race," ""Jason Sudeikis"""
323676,The Boss," ""Peter Dinklage"""
323675,Ride Along 2," ""Ice Cube"""
323271,Unsullied," ""Murray Gray"""
323270,The Horror Network Vol. 1," ""Artem Mishin"""
322745,Counting,
322443,The Timber," ""Elisa Lasowski"""
322194,Subconscious," ""Naomi Brockwell"""
321741,Concussion," ""Alec Baldwin"""
321697,Steve Jobs," ""Kate Winslet"""
321258,The Boy," ""Rupert Evans"""
320435,UnDivided,
320146,Creative Control," ""Nora Zehetner"""
319910,Broken Horses," ""Vincent D'Onofrio"""
319888,Eddie the Eagle," ""Hugh Jackman"""
319069,Censored Voices,
318850,The Young Messiah," ""Sara Lazzaro"""
318846,The Big Short," ""Steve Carell"""
318040,Bizarre," ""Adrian James"""
317930,Compadres," ""Joey Morgan"""
316727,The Purge: Election Year," ""Frank Grillo"""
316152,Free State of Jones," ""Gugu Mbatha-Raw"""
316002,Accidental Love," ""Jessica Biel"""
315664,Florence Foster Jenkins," ""Hugh Grant"""
315011,Shin Godzilla," ""Yutaka Takenouchi"""
314385,By the Sea," ""Brad Pitt"""
314365,Spotlight," ""Michael Keaton"""
313922,Green Room," ""Imogen Poots"""
312793,The Walking Deceased," ""Troy Ogletree"""
312791,GirlHouse," ""Erin Agostino"""
312221,Creed," ""Sylvester Stallone"""
312113,Black November," ""Sarah Wayne Callies"""
310933,Bleeding Hearts," ""Charles Durning"""
310706,Black Water Transit," ""Karl Urban"""
310569,The Second Mother," ""Michel Joelsas"""
310131,The Witch," ""Ralph Ineson"""
309919,The Curse of Downers Grove," ""Lucas Till"""
309809,The Little Prince," ""Rachel McAdams"""
309503,Zipper," ""Lena Headey"""
309425,Do You Believe?," ""Sean Astin"""
308639,Dope," ""Kiersey Clemons"""
308531,Teenage Mutant Ninja Turtles: Out of the Shadows," ""Stephen Amell"""
308529,Kickboxer: Vengeance," ""Dave Bautista"""
308467,Roadside," ""Katie Stegeman"""
307081,Southpaw," ""Rachel McAdams"""
306745,Freeheld," ""Ellen Page"""
306667,Horse Camp," ""Dean Cain"""
304410,The Bélier Family," ""Karin Viard"""
304357,Woman in Gold," ""Ryan Reynolds"""
303858,Money Monster," ""Julia Roberts"""
302699,Central Intelligence," ""Kevin Hart"""
302688,My Big Fat Greek Wedding 2," ""Elena Kampouris"""
302579,Naturally Native," ""Yvonne Russo"""
302156,Criminal," ""Gary Oldman"""
301748,The Opposite Sex," ""Eric Roberts"""
301365,The Neon Demon," ""Karl Glusman"""
301351,We Are Your Friends," ""Emily Ratajkowski"""
301325,#Horror," ""Natasha Lyonne"""
300706,Let's Kill Ward's Wife," ""Scott Foley"""
300673,The Finest Hours," ""Casey Affleck"""
300671,13 Hours: The Secret Soldiers of Benghazi," ""John Krasinski"""
300327,Death Calls,
300168,Dragon Blade," ""John Cusack"""
299687,The 5th Wave," ""Nick Robinson"""
299553,Shark Lake," ""James Chalke"""
299552,Born Of War," ""Sofia Black-D'Elia"""
299245,The Gallows," ""Ryan Shoos"""
299145,Stranded," ""Rita Wilson"""
298584,Cabin Fever," ""Samuel Davis"""
298312,The Visit," ""Ed Oxenbould"""
297761,Suicide Squad," ""Margot Robbie"""
297621,There's Always Woodstock," ""James Wolk"""
297596,Dying of the Light," ""Anton Yelchin"""
297100,The Little Ponderosa Zoo,
296943,The Hadza:  Last of the First,
296099,Vacation," ""Christina Applegate"""
296098,Bridge of Spies," ""Mark Rylance"""
296096,Me Before You," ""Sam Claflin"""
295964,Burnt," ""Sienna Miller"""
295914,Queen of the Mountains," ""Aziz Muradillayev"""
295886,Brotherly Love," ""Cory Hardrict"""
294600,Last I Heard," ""Chazz Palminteri"""
294550,The Outrageous Sophie Tucker,
294512,Alpha and Omega: The Legend of the Saw Tooth Cave," ""Ben Diskin"""
294272,Pete's Dragon," ""Oakes Fegley"""
294254,Maze Runner: The Scorch Trials," ""Kaya Scodelario"""
294086,Tiger Orange," ""Frankie Valenti"""
293863,The Age of Adaline," ""Michiel Huisman"""
293670,The Wailing," ""Hwang Jung-min"""
293660,Deadpool," ""Morena Baccarin"""
293646,The 33," ""Rodrigo Santoro"""
293644,Top Cat Begins," ""David Hoffman"""
292539,Food Chains,
292483,Not Cool," ""Cherami Leigh"""
292481,Henry & Me," ""Luis Guzm\u00e1n"""
291870,Dirty Grandpa," ""Robert De Niro"""
291805,Now You See Me 2," ""Woody Harrelson"""
291362,Road Hard," ""Diane Farr"""
291270,Anomalisa," ""Jennifer Jason Leigh"""
291081,Red Riding: In the Year of Our Lord 1974," ""David Morrissey"""
290864,Kung Fu Jungle," ""Charlie Yeung"""
290825,Yoga Hosers," ""Harley Quinn Smith"""
290751,Secret in Their Eyes," ""Nicole Kidman"""
290595,The Huntsman: Winter's War," ""Charlize Theron"""
290555,Wolves," ""Lucas Till"""
290391,"Run, Hide, Die"," ""Alicia Mendez"""
290370,Mutant World," ""Holly Deveaux"""
289180,H.," ""Rebecca Dayan"""
288980,Freedom," ""William Sadler"""
288927,Archaeology of a Woman," ""Victoria Clark"""
287948,The Transporter Refueled," ""Ray Stevenson"""
287903,Krampus," ""Toni Collette"""
287815,Call + Response,
287625,Stories of Our Lives," ""Allan Bryan Weku"""
287524,Fear Clinic," ""Robert Englund"""
287424,Maggie," ""Abigail Breslin"""
286939,Sanctuary: Quite a Conundrum," ""Erin Cline"""
286565,Paper Towns," ""Cara Delevingne"""
286217,The Martian," ""Jessica Chastain"""
285923,Grindhouse," ""Zo\u00eb Bell"""
285783,The Walk," ""Ben Kingsley"""
285743,Alleluia! The Devil's Carnival," ""Paul Sorvino"""
284536,The Gambler," ""John Goodman"""
284296,Top Five," ""Rosario Dawson"""
284293,Still Alice," ""Alec Baldwin"""
283708,Far from Men," ""Reda Kateb"""
283686,Out of the Dark," ""Scott Speedman"""
283671,Jungle Shuffle," ""Rob Schneider"""
283445,Sinister 2," ""James Ransone"""
283384,The Calling," ""Gil Bellows"""
282128,An American in Hollywood," ""Hassan Johnson"""
281957,The Revenant," ""Tom Hardy"""
281730,Fugly," ""Mohit Marwah"""
281230,Fort McCoy," ""Kate Connor"""
281189,Gory Gory Hallelujah,
280871,Ramanujan," ""Suhasini Maniratnam"""
280391,Why I Did (Not) Eat My Father," ""Ari\u00e9 Elmaleh"""
280381,House at the End of the Drive," ""Jonathan Mangum"""
280092,Insidious: Chapter 3," ""Stefanie Scott"""
279759,Harrison Montgomery,
278927,The Jungle Book," ""Bill Murray"""
278348,The Maid's Room," ""Annabella Sciorra"""
278316,Da Sweet Blood of Jesus," ""Zaraah Abrahams"""
277685,Unfriended," ""Moses Jacob Storm"""
277519,Z Storm," ""Gordon Lam Ka-Tung"""
277216,Straight Outta Compton," ""Corey Hawkins"""
276907,Legend," ""Emily Browning"""
274854,The Last Witch Hunter," ""Rose Leslie"""
274758,Give Me Shelter," ""Robert Davi"""
274479,Joy," ""Bradley Cooper"""
274167,Daddy's Home," ""Mark Wahlberg"""
273899,Stonewall," ""Jonny Beauchamp"""
273895,Selma," ""Tom Wilkinson"""
273481,Sicario," ""Benicio del Toro"""
273248,The Hateful Eight," ""Kurt Russell"""
272878,Max," ""Josh Wiggins"""
272726,Dude Where's My Dog?," ""Trish Cook"""
272724,Doc Holliday's Revenge," ""Ashley Hayes"""
272693,The DUFF," ""Robbie Amell"""
271969,Ben-Hur," ""Toby Kebbell"""
271718,Trainwreck," ""Bill Hader"""
271331,United Passions," ""Sam Neill"""
271185,Ask Me Anything," ""Christian Slater"""
271110,Captain America: Civil War," ""Robert Downey Jr."""
270946,Penguins of Madagascar," ""Chris Miller"""
270938,Falcon Rising," ""Neal McDonough"""
270554,Echo Dr.," ""Jordan Savage"""
270487,"Hail, Caesar!"," ""George Clooney"""
270303,It Follows," ""Keir Gilchrist"""
269057,Bang Bang Baby," ""Peter Stormare"""
268920,Hot Pursuit," ""Sof\u00eda Vergara"""
268917,The Past Is a Grotesque Animal," ""Derek Almstead"""
268238,The Second Best Exotic Marigold Hotel," ""Judi Dench"""
268171,Elsa & Fred," ""Christopher Plummer"""
267935,The BFG," ""Mark Rylance"""
267860,London Has Fallen," ""Aaron Eckhart"""
266857,The Work and The Story," ""Christopher Robin Miller"""
266856,The Theory of Everything," ""Felicity Jones"""
266647,Pan," ""Garrett Hedlund"""
266396,The Gunman," ""Jasmine Trinca"""
266102,Desert Dancer," ""Reece Ritchie"""
266034,The Blue Room," ""L\u00e9a Drucker"""
265208,Wild Card," ""Michael Angarano"""
264999,Magic Mike XXL," ""Matt Bomer"""
264660,Ex Machina," ""Alicia Vikander"""
264656,The Homesman," ""Tommy Lee Jones"""
264644,Room," ""Jacob Tremblay"""
263503,Water & Power," ""Nicholas Gonzalez"""
262543,Automata," ""Birgitte Hjort S\u00f8rensen"""
262504,Allegiant," ""Theo James"""
262500,Insurgent," ""Theo James"""
261023,Black Mass," ""Joel Edgerton"""
260947,Something Wicked," ""John Robinson"""
260778,Vaalu," ""Hansika Motwani"""
260346,Taken 3," ""Forest Whitaker"""
259943,Coming Home," ""Chen Dao-Ming"""
259694,How to Be Single," ""Rebel Wilson"""
259693,The Conjuring 2," ""Vera Farmiga"""
258755,Hidden Away," ""Adil Koukouh"""
258509,Alvin and the Chipmunks: The Road Chip," ""Justin Long"""
258489,The Legend of Tarzan," ""Margot Robbie"""
257932,Dragon Nest: Warriors' Dawn," ""Lucas Grabeel"""
257445,Goosebumps," ""Dylan Minnette"""
257344,Pixels," ""Michelle Monaghan"""
257211,The Intern," ""Anne Hathaway"""
257091,Get Hard," ""Kevin Hart"""
257088,Point Break," ""Luke Bracey"""
257087,The Veil," ""Thomas Jane"""
256962,Little Boy," ""Emily Watson"""
256961,Paul Blart: Mall Cop 2," ""Raini Rodriguez"""
256924,Danny Collins," ""Annette Bening"""
256917,The Water Diviner," ""Olga Kurylenko"""
256740,Wicked Blood," ""James Purefoy"""
256687,Swelter," ""Brad Carter"""
256591,Focus," ""Margot Robbie"""
256274,"As Above, So Below"," ""Ben Feldman"""
256092,Drive Hard," ""John Cusack"""
256040,Baahubali: The Beginning," ""Rana Daggubati"""
255343,Escobar: Paradise Lost," ""Josh Hutcherson"""
255266,Dry Spell," ""Jared Degado"""
254904,The November Man," ""Luke Bracey"""
254473,Brick Mansions," ""David Belle"""
254472,Stung," ""Jessica Cook"""
254470,Pitch Perfect 2," ""Rebel Wilson"""
254128,San Andreas," ""Alexandra Daddario"""
254024,The Face of an Angel," ""Cara Delevingne"""
253626,Good Kill," ""January Jones"""
253450,The Assassin," ""Chang Chen"""
253412,Everest," ""Jake Gyllenhaal"""
253331,Black or White," ""Jillian Estell"""
253306,Housebound," ""Rima Te Wiata"""
253290,Butterfly Girl,
253261,Born to Fly: Elizabeth Streb vs. Gravity," ""Fabio Tavares"""
253253,Animals," ""Kim Shaw"""
253235,And So It Goes," ""Diane Keaton"""
252680,Moms' Night Out," ""Sean Astin"""
252512,While We're Young," ""Naomi Watts"""
252360,In the Name of the King III," ""Ralitsa Paskaleva"""
251979,The Perfect Wave," ""Cheryl Ladd"""
251471,A LEGO Brickumentary," ""Matthias Klie"""
251321,Aloft," ""M\u00e9lanie Laurent"""
250902,The Image Revolution," ""Rob Liefeld"""
250546,Annabelle," ""Ward Horton"""
250349,Barbecue," ""Franck Dubosc"""
250184,Locker 13," ""Jon Gries"""
250124,The Diary of a Teenage Girl," ""Kristen Wiig"""
250066,American Heist," ""Adrien Brody"""
249164,If I Stay," ""Jamie Blackley"""
248774,Obvious Child," ""Jake Lacy"""
248402,A Fine Step," ""Anna Claire Sneed"""
246655,X-Men: Apocalypse," ""Michael Fassbender"""
246449,Against the Wild," ""CJ Adams"""
246403,Tusk," ""Justin Long"""
245916,Kill the Messenger," ""Mary Elizabeth Winstead"""
245846,Strangerland," ""Joseph Fiennes"""
245703,Midnight Special," ""Jaeden Lieberher"""
245700,Mr. Turner," ""Dorothy Atkinson"""
244786,Whiplash," ""J.K. Simmons"""
244783,Song One," ""Johnny Flynn"""
244776,The Sleepwalker," ""Brady Corbet"""
244772,The Skeleton Twins," ""Bill Hader"""
244534,Happy Christmas," ""Melanie Lynskey"""
244403,Rudderless," ""Anton Yelchin"""
244339,Out of Inferno," ""Angelica Lee"""
244316,Into the Grizzly Maze," ""Thomas Jane"""
244267,I Origins," ""Brit Marling"""
244114,Firestorm," ""Gordon Lam Ka-Tung"""
243940,The Lazarus Effect," ""Mark Duplass"""
243938,Hot Tub Time Machine 2," ""Craig Robinson"""
242582,Nightcrawler," ""Rene Russo"""
242575,"Guten Tag, Ramón"," ""R\u00fcdiger Evers"""
242512,Ouija," ""Ana Coto"""
242166,Red Sky," ""Rachael Leigh Cook"""
242095,The Signal," ""Olivia Cooke"""
242083,Hits," ""Matt Walsh"""
241771,Beyond the Lights," ""Nate Parker"""
241766,Lords of London," ""Ray Winstone"""
241554,Run All Night," ""Ed Harris"""
241259,Alice Through the Looking Glass," ""Mia Wasikowska"""
241257,Regression," ""Emma Watson"""
241254,The Prince," ""Jason Patric"""
241251,The Boy Next Door," ""Ryan Guzman"""
241239,A Most Violent Year," ""Jessica Chastain"""
240832,Lucy," ""Morgan Freeman"""
239897,Dwegons," ""Maggie Wheeler"""
239678,This Is Where I Leave You," ""Tina Fey"""
239573,Unfinished Business," ""Dave Franco"""
239571,The Best of Me," ""James Marsden"""
239566,Get on Up," ""Nelsan Ellis"""
239563,St. Vincent," ""Melissa McCarthy"""
238636,The Purge: Anarchy," ""Carmen Ejogo"""
238615,Self/less," ""Ben Kingsley"""
238603,Earth to Echo," ""Astro"""
236751,Heaven is for Real," ""Kelly Reilly"""
235271,Addicted," ""Brandon Gonzales"""
235260,Son of God,647347
234212,Demonic," ""Frank Grillo"""
232679,When the Game Stands Tall," ""Michael Chiklis"""
232672,Blended," ""Adam Sandler"""
231617,"Signed, Sealed, Delivered"," ""Kristin Booth"""
231576,Wish I Was Here," ""Kate Hudson"""
230266,Miss Julie," ""Colin Farrell"""
228970,Wild," ""Laura Dern"""
228967,The Interview," ""Seth Rogen"""
228550,Raymond Did It," ""Elissa Dowling"""
228326,The Book of Life," ""Channing Tatum"""
228205,The Longest Ride," ""Britt Robertson"""
228203,"McFarland, USA"," ""Ramiro Rodriguez"""
228194,The Hundred-Foot Journey," ""Manish Dayal"""
228165,The SpongeBob Movie: Sponge Out of Water," ""Bill Fagerbakke"""
228161,Home," ""Rihanna"""
228150,Fury," ""Shia LaBeouf"""
228066,Victor Frankenstein," ""Daniel Radcliffe"""
227975,Futuro Beach," ""Clemens Schick"""
227973,The Peanuts Movie," ""Bill Melendez"""
227783,The Nut Job," ""Katherine Heigl"""
227735,Dolphin Tale 2," ""Ashley Judd"""
227719,Project Almanac," ""Virginia Gardner"""
227707,The Adventurer: The Curse of the Midas Box," ""Michael Sheen"""
227348,Paranormal Activity: The Marked Ones," ""Richard Cabral"""
227306,Unbroken," ""Domhnall Gleeson"""
227159,Horrible Bosses 2," ""Jason Sudeikis"""
227156,The Giver," ""Meryl Streep"""
226857,Endless Love," ""Gabriella Wilde"""
226486,Tammy," ""Susan Sarandon"""
226458,Backmask," ""Kelly Blatz"""
226354,The Christmas Candle," ""Samantha Barks"""
225886,Sex Tape," ""Jason Segel"""
225574,Non-Stop," ""Julianne Moore"""
225565,That Awkward Moment," ""Miles Teller"""
225235,The Geographer Drank His Globe Away," ""Elena Lyadova"""
224569,Taxman," ""Wade Dominguez"""
224141,Into the Woods," ""Emily Blunt"""
223702,Sausage Party," ""Kristen Wiig"""
223485,Slow West," ""Kodi Smit-McPhee"""
222936,Aloha," ""Emma Stone"""
222935,The Fault in Our Stars," ""Ansel Elgort"""
222899,About Last Night," ""Michael Ealy"""
222649,Rosewater," ""Shohreh Aghdashloo"""
222250,A True Story," ""Jon Gries"""
220490,Her Cry: La Llorona Investigation," ""James Ezrin"""
220488,My Lucky Star," ""Leehom Wang"""
219716,Sparkler," ""Veronica Cartwright"""
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"," ""Jennifer Garner"""
218500,The Ballad of Gregorio Cortez," ""James Gammon"""
218043,Left Behind," ""Chad Michael Murray"""
217708,Of Horses and Men," ""Charlotte B\u00f8ving"""
216282,Into the Storm," ""Sarah Wayne Callies"""
216015,Fifty Shades of Grey," ""Jamie Dornan"""
215924,The Amazing Catfish," ""Ximena Ayala"""
215918,1982," ""Sharon Leal"""
215881,Plush," ""Xavier Samuel"""
215211,Grace of Monaco," ""Milo Ventimiglia"""
214756,Ted 2," ""Seth MacFarlane"""
211954,Instructions Not Included," ""Eugenio Derbez"""
211672,Minions," ""Jon Hamm"""
211557,Vessel," ""Brandy Maasch"""
211086,Faith Connections," ""Hatha Yogi Baba"""
210860,Mortdecai," ""Gwyneth Paltrow"""
210577,Gone Girl," ""Rosamund Pike"""
209451,Jersey Boys," ""Vincent Piazza"""
209403,Bad Words," ""Kathryn Hahn"""
209274,Ida," ""Agata Kulesza"""
209263,Enough Said," ""Catherine Keener"""
209112,Batman v Superman: Dawn of Justice," ""Henry Cavill"""
208869,Plastic," ""Will Poulter"""
208763,Forbidden Kingdom," ""Aleksey Chadov"""
208134,Bad Grandpa," ""Jackson Nicoll"""
207769,Banshee Chapter," ""Katia Winter"""
206647,Spectre," ""Christoph Waltz"""
206563,Trash," ""Eduardo Luis"""
206412,Lisa Picard Is Famous," ""Nat DeWolf"""
206296,The Last Five Years," ""Jeremy Jordan"""
206284,Grace Unplugged," ""James Denton"""
206213,Zombie Hunter," ""Danny Trejo"""
206197,The Sisterhood of Night," ""Georgie Henley"""
205775,In the Heart of the Sea," ""Benjamin Walker"""
